Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Has_Cabin,Embarked_Q,Embarked_S
0,3,0,-0.8826811574119807,0.39366235165641883,0.6645216197402156,-0.7128923948351259,1,0,1
0,3,1,0.9506045504515584,-0.43522201341486766,-0.4528707057245966,-0.47653885486448644,0,0,1
1,3,0,-0.030380639963156163,-0.43522201341486766,-0.4528707057245966,-0.40446870196987095,0,0,1
1,3,1,-1.0835860647086104,-0.43522201341486766,0.6645216197402156,-0.5222306569970475,1,0,0
0,3,1,-0.030380639963156163,-0.43522201341486766,-0.4528707057245966,-0.26936857207474,1,0,1
0,3,1,-0.9806158522816821,-0.43522201341486766,-0.4528707057245966,-0.5359820463597019,1,0,1
0,3,1,0.12692441357181744,-0.43522201341486766,-0.4528707057245966,0.5122931710993373,1,0,1
0,3,1,-0.5556991375999684,0.39366235165641883,0.6645216197402156,0.3742203173853733,0,0,0
1,1,0,-1.3803755447168158,-0.43522201341486766,-0.4528707057245966,-1.1984126245089877,0,1,0
0,2,1,1.5740074319163493,0.39366235165641883,-0.4528707057245966,-0.11306283660848783,0,0,1
1,3,1,-0.9522950950566849,-0.43522201341486766,-0.4528707057245966,1.5520794617709965,0,1,0
0,2,1,-1.4827941210593611,-0.43522201341486766,-0.4528707057245966,0.14216667119682044,0,1,0
0,2,1,0.6711623919548374,0.39366235165641883,-0.4528707057245966,0.3886639188809986,0,0,1
0,3,1,1.5539992894078465,0.39366235165641883,-0.4528707057245966,-1.1984126245089877,0,0,1
1,2,1,1.2960293844098487,-0.43522201341486766,6.251483247064277,1.8496080537109345,0,0,1
1,2,1,-0.030380639963156163,0.39366235165641883,-0.4528707057245966,1.291006367909916,0,0,1
0,3,1,-1.9927310426074567,3.709199811941565,-0.4528707057245966,-0.7342921357536458,0,1,0
0,3,1,-0.030380639963156163,0.39366235165641883,-0.4528707057245966,-0.5777900568869315,0,0,0
0,1,0,-0.49769806555051205,-0.43522201341486766,-0.4528707057245966,-1.1984126245089877,1,0,1
0,3,0,-0.3999723298701628,-0.43522201341486766,-0.4528707057245966,-0.9109442058902781,0,0,1
1,3,1,1.747813550946347,-0.43522201341486766,1.7819139452050277,-1.1984126245089877,1,0,1
0,3,1,0.5613062164271443,-0.43522201341486766,1.7819139452050277,0.8185792636489502,0,0,0
0,3,1,-0.030380639963156163,-0.43522201341486766,-0.4528707057245966,0.4985986546599332,0,0,1
0,3,1,0.018758654193516282,0.39366235165641883,-0.4528707057245966,-0.6880182585816115,1,0,1
0,3,1,0.3065477002360863,-0.43522201341486766,-0.4528707057245966,-0.8438100895756158,0,0,1
0,2,1,-0.030380639963156163,-0.43522201341486766,-0.4528707057245966,-0.4470084192636177,0,0,0
0,1,1,0.6319656388646195,-0.43522201341486766,-0.4528707057245966,-1.1984126245089877,0,0,1
0,3,1,0.6733976375512831,0.39366235165641883,-0.4528707057245966,-0.2638263194320137,0,0,0
0,2,1,1.400029470215076,-0.43522201341486766,-0.4528707057245966,-1.1984126245089877,0,0,1
0,3,0,-0.030380639963156163,2.0514310817989916,-0.4528707057245966,-0.23485726537397822,0,0,0
0,3,1,-1.5593695768922702,-0.43522201341486766,-0.4528707057245966,0.9075438505486133,0,0,0
1,2,0,-0.35973856819377314,-0.43522201341486766,-0.4528707057245966,0.7156414398886115,1,1,0
0,3,1,-0.43531059852845116,-0.43522201341486766,-0.4528707057245966,-0.8420669858525025,1,0,1
0,3,1,0.359342904261275,-0.43522201341486766,0.6645216197402156,-0.461619018764069,0,0,1
1,1,1,1.0507718620116244,-0.43522201341486766,-0.4528707057245966,-1.1984126245089877,0,0,0
0,3,1,-0.030380639963156163,-0.43522201341486766,-0.4528707057245966,-0.9483193347583216,0,0,1
1,3,0,-0.8518897494303558,-0.43522201341486766,-0.4528707057245966,-0.5665688968316049,0,1,0
1,3,0,-0.030380639963156163,-0.43522201341486766,-0.4528707057245966,0.1126133482285865,1,0,1
0,3,1,0.3255736704125773,-0.43522201341486766,0.6645216197402156,-0.8371113380170296,0,1,0
0,3,1,-0.3970589400280734,-0.43522201341486766,-0.4528707057245966,-1.1984126245089877,1,0,0
